[2022-12-21 09:13:25.779 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:25.785 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:25.785 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:25.785 +05:30  INF]  Route matched with {action = "GetAll", controller = "Employee"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetAll() on controller Database.Controllers.EmployeeController (Employee).
[2022-12-21 09:13:26.044 +05:30  INF]  Executing JsonResult, writing value of type 'System.Collections.Generic.List`1[[Database.Models.Employee, Database, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]'.
[2022-12-21 09:13:26.045 +05:30  INF]  Executed action Database.Controllers.EmployeeController.GetAll (Employee) in 259.6487ms
[2022-12-21 09:13:26.045 +05:30  INF]  Executed endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
[2022-12-21 09:13:26.045 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll - - - 200 - application/json;+charset=utf-8 265.8979ms
[2022-12-21 09:13:26.050 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - -
[2022-12-21 09:13:26.050 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:26.050 +05:30  INF]  Request finished HTTP/2 GET https://localhost:7256/Employee/GetAll/Employee/getcount - - - 404 0 - 0.2934ms
[2022-12-21 09:13:27.929 +05:30  INF]  Request starting HTTP/2 GET https://localhost:7256/Employee/GetAll - -
[2022-12-21 09:13:27.929 +05:30  INF]  CORS policy execution successful.
[2022-12-21 09:13:27.929 +05:30  INF]  Executing endpoint 'Database.Controllers.EmployeeController.GetAll (Employee)'
